Date,Location,Temperature,Humidity,WindSpeed,Pressure
01-01-2022,CityC,17.78987721,68.75664117,9.349471902,1004.030532
02-01-2022,CityA,20.84289297,76.97494708,4.963470373,1023.242441
03-01-2022,CityC,22.32723687,74.74136752,0.953375254,1020.203009
04-01-2022,CityC,24.12139968,59.89499894,4.664734826,1015.835094
05-01-2022,CityA,30.70351923,76.09371175,4.87774983,1021.786515
06-01-2022,CityA,18.99347564,34.4246251,10.94409268,1020.091802
07-01-2022,CityC,25.28468877,39.79914312,9.56336207,1004.664251
08-01-2022,CityB,26.84829138,32.26136445,13.30819114,1022.313975
09-01-2022,CityC,15.92900825,46.26651654,7.083223877,1013.483556
10-01-2022,CityC,27.15089704,49.43386448,1.793913689,1020.186004
11-01-2022,CityC,18.41048247,43.56745159,10.69867181,1022.402282
12-01-2022,CityC,16.30103186,71.43687546,11.41177573,1007.950087
13-01-2022,CityA,33.97771075,47.83766633,8.419157964,1002.751298
14-01-2022,CityC,34.31264066,44.04672548,11.5645077,1005.698379
15-01-2022,CityB,31.16794696,57.13480416,7.406933945,1010.677695
16-01-2022,CityA,21.09227538,37.04621125,7.840992441,1020.450369
17-01-2022,CityB,16.95344228,70.10984904,6.413115275,1021.518265
18-01-2022,CityB,28.68466053,33.72753218,0.381286901,1000.173803
19-01-2022,CityB,23.80304987,79.34434683,1.618371405,1012.768683
20-01-2022,CityB,17.4407647,68.61223846,0.471437785,1010.435275
21-01-2022,CityA,24.9035382,39.93578408,9.546156169,1005.552695
22-01-2022,CityA,15.68777042,30.27610586,4.715339716,1002.996634
23-01-2022,CityB,33.18640804,70.77307142,7.628560367,1008.440379
24-01-2022,CityB,20.17559963,65.34286719,13.61349711,1023.572743
25-01-2022,CityA,28.25044569,66.4503584,3.739383437,1008.080073
26-01-2022,CityA,21.23422152,68.56351733,6.155743846,1012.969766
27-01-2022,CityA,25.40136042,33.70223259,11.33326708,1017.575474
28-01-2022,CityC,25.93420559,47.92328643,3.431972482,1009.09074
29-01-2022,CityC,18.69708911,47.92328643,1.154698647,1024.294552
30-01-2022,CityC,34.39169256,47.92328643,4.346271794,1024.061182
31-01-2022,CityC,34.39169256,47.92328643,4.346271794,1024.061182
01-02-2022,CityC,34.39169256,47.92328643,4.346271794,1024.061182
02-02-2022,CityC,34.39169256,47.92328643,4.346271794,1024.061182
03-02-2022,CityC,34.39169256,47.92328643,4.346271794,1024.061182
04-02-2022,CityC,34.39169256,47.92328643,4.346271794,1024.061182
05-02-2022,CityC,34.39169256,47.92328643,4.346271794,1024.061182
